Field Number,Soil pH,Soil Moisture,Soil Texture,Crop Type,Planting Date,Harvest Date,Estimated Yield (bu/acre)
1,6.57,0.33,Silt Loam,Corn,2023-02-11,2023-08-29,231.22
2,6.99,0.32,Clay Loam,Soybean,2023-03-13,2023-05-15,190.25
3,7.04,0.35,Silt Loam,Corn,2023-01-08,2023-06-12,298.45
4,7.28,0.28,Sandy Loam,Corn,2022-09-24,2023-09-02,177.42
5,6.7,0.27,Silt Loam,Soybean,2022-09-21,2023-05-28,265.74
6,6.45,0.34,Clay Loam,Corn,2022-09-24,2023-08-14,294.43
7,6.43,0.25,Sandy Loam,Corn,2022-10-05,2023-07-22,154.7
8,6.92,0.26,Sandy Loam,Corn,2023-02-05,2023-07-09,299.32
9,6.61,0.32,Clay Loam,Soybean,2022-12-29,2023-08-01,171.81
10,6.44,0.23,Silt Loam,Soybean,2023-01-11,2023-05-26,262.39
11,6.81,0.28,Sandy Loam,Corn,2023-02-15,2023-06-24,269.04
12,6.17,0.25,Clay Loam,Corn,2023-02-21,2023-07-09,273.1
13,6.64,0.28,Sandy Loam,Soybean,2022-10-08,2023-04-03,188.4
14,6.53,0.24,Clay Loam,Soybean,2022-10-06,2023-05-20,290.46
15,7.03,0.39,Sandy Loam,Corn,2022-12-26,2023-06-20,158.96
16,6.52,0.34,Sandy Loam,Soybean,2022-09-20,2023-04-16,181.95
17,6.85,0.34,Sandy Loam,Corn,2022-12-24,2023-08-31,253.25
18,7.21,0.21,Clay Loam,Soybean,2022-11-23,2023-07-31,219.55
19,7.49,0.32,Clay Loam,Soybean,2022-10-02,2023-08-08,221.03
20,7.45,0.31,Clay Loam,Soybean,2023-02-21,2023-04-02,251.18
21,6.03,0.34,Silt Loam,Corn,2022-10-01,2023-04-10,271.36
22,7.19,0.2,Silt Loam,Soybean,2022-10-22,2023-07-30,150.18
23,7.27,0.3,Clay Loam,Corn,2022-11-04,2023-04-01,237.75
24,7.18,0.31,Silt Loam,Corn,2022-10-29,2023-03-24,242.74
25,6.85,0.28,Sandy Loam,Corn,2022-12-16,2023-08-28,278.6
26,6.51,0.27,Clay Loam,Soybean,2022-11-29,2023-04-18,193.02
27,7.49,0.28,Silt Loam,Soybean,2023-02-26,2023-06-19,200.02
28,7.03,0.36,Clay Loam,Soybean,2023-01-01,2023-08-04,217.04
29,7.34,0.33,Clay Loam,Soybean,2022-09-19,2023-08-22,252.89
30,6.42,0.27,Clay Loam,Corn,2022-12-18,2023-03-27,153.83
31,6.49,0.39,Clay Loam,Corn,2023-01-18,2023-04-18,235.64
32,7.21,0.3,Clay Loam,Corn,2023-01-08,2023-08-02,226.89
33,7.09,0.36,Sandy Loam,Soybean,2023-01-24,2023-04-11,208.6
34,7.38,0.3,Sandy Loam,Corn,2022-10-25,2023-04-15,207.98
35,6.33,0.3,Sandy Loam,Corn,2022-09-26,2023-04-17,198.01
36,6.63,0.26,Silt Loam,Soybean,2022-11-01,2023-07-12,216.79
37,7.23,0.33,Silt Loam,Soybean,2022-10-17,2023-07-13,221.2
38,7.43,0.29,Clay Loam,Corn,2023-03-14,2023-04-11,276.3
39,7.49,0.31,Clay Loam,Corn,2023-02-08,2023-06-23,164.97
40,6.6,0.26,Sandy Loam,Soybean,2023-01-02,2023-04-21,178.15
41,6.2,0.33,Sandy Loam,Corn,2022-10-08,2023-08-20,200.03
42,6.55,0.34,Silt Loam,Soybean,2022-11-01,2023-07-17,258.46
43,7.44,0.4,Clay Loam,Soybean,2022-10-31,2023-07-06,166.43
44,6.72,0.21,Clay Loam,Corn,2023-02-20,2023-03-19,193.3
45,7.15,0.3,Sandy Loam,Soybean,2023-03-03,2023-08-31,229.52
46,7.49,0.4,Clay Loam,Soybean,2023-02-23,2023-06-29,260.44
47,6.19,0.25,Silt Loam,Soybean,2022-12-26,2023-03-30,257.17
48,7.48,0.29,Clay Loam,Corn,2022-09-14,2023-05-24,197.43
49,7.37,0.24,Clay Loam,Soybean,2022-12-13,2023-06-20,238.97
50,6.04,0.32,Sandy Loam,Soybean,2023-01-16,2023-09-08,228.57
