Field Number,Soil pH,Soil Moisture,Soil Texture
1,6.25,0.29,Silt Loam
2,6.91,0.24,Sandy Loam
3,7.3,0.39,Clay Loam
4,7.06,0.3,Sandy Loam
5,6.76,0.28,Sandy Loam
6,6.83,0.25,Silt Loam
7,7.35,0.32,Sandy Loam
8,6.64,0.33,Sandy Loam
9,6.19,0.23,Silt Loam
10,6.36,0.26,Silt Loam
11,7.36,0.26,Silt Loam
12,6.69,0.21,Sandy Loam
13,7.46,0.28,Silt Loam
14,7.49,0.33,Clay Loam
15,6.88,0.24,Silt Loam
16,6.2,0.23,Clay Loam
17,7.38,0.23,Clay Loam
18,7.35,0.24,Sandy Loam
19,7.23,0.38,Clay Loam
20,7.15,0.33,Sandy Loam
21,6.75,0.24,Silt Loam
22,6.66,0.34,Sandy Loam
23,6.8,0.28,Silt Loam
24,6.97,0.25,Sandy Loam
25,6.87,0.29,Silt Loam
26,7.03,0.36,Sandy Loam
27,6.96,0.4,Sandy Loam
28,6.5,0.39,Sandy Loam
29,7.36,0.39,Clay Loam
30,6.64,0.35,Clay Loam
31,6.75,0.27,Clay Loam
32,6.29,0.21,Silt Loam
33,6.49,0.3,Sandy Loam
34,6.52,0.32,Sandy Loam
35,6.25,0.39,Clay Loam
36,7.06,0.26,Silt Loam
37,7.38,0.22,Clay Loam
38,7.26,0.31,Sandy Loam
39,7.29,0.34,Sandy Loam
40,7.46,0.3,Sandy Loam
41,6.34,0.25,Clay Loam
42,6.44,0.21,Silt Loam
43,6.26,0.3,Silt Loam
44,6.54,0.28,Clay Loam
45,7.36,0.35,Sandy Loam
46,6.31,0.37,Clay Loam
47,6.17,0.28,Silt Loam
48,6.81,0.26,Silt Loam
49,7.46,0.25,Clay Loam
50,7.27,0.39,Sandy Loam
